İlçe,Mahalle,Oda Sayısı,m^2,Bina Yaşı,Kat,Fiyat
 Yenimahalle , Emniyet,4,95,25,3,23000
 Sincan , Plevne,4,127,20,3,17000
 Polatlı , Gazi,3,80,7,3,20000
 Yenimahalle , Gazi,4,100,24,1,27000
 Çankaya , Yaşamkent,2,50,0,2,22000
 Mamak , General Zeki Doğan,4,110,20,1,15000
 Yenimahalle , Yunus Emre,4,110,18,1,25000
 Sincan , Fatih,3,75,30,5,12000
 Keçiören , Ovacık,5,195,0,7,35000
 Mamak , Durali Alıç,4,125,10,5,21000
 Çankaya , Sokullu Mehmet Paşa,5,140,20,-1,19000
 Sincan , Andiçen,3,90,16,0,12500
 Keçiören , Etlik,4,130,30,0,12000
 Sincan , Fevzi Çakmak,4,139,5,4,18000
 Mamak , Akşemsettin,5,170,0,4,32000
 Keçiören , Şehit Kubilay,4,120,8,0,15000
 Yenimahalle , Yeni Batı,4,135,11,3,30000
 Çankaya , Metin Oktay,3,80,45,1,16000
 Etimesgut , Topçu,4,130,12,3,20000
 Keçiören , Esertepe,5,160,15,1,30000
 Elmadağ , Hasanoğlan Fatih,4,125,11,0,13500
 Çankaya , Şehit Cengiz Karaca,4,115,8,4,29000
 Etimesgut , Bağlıca,5,150,6,7,37000
 Çankaya , Yıldızevler,4,125,22,5,35000
 Keçiören , Çiçekli,4,120,5,3,27500
 Çankaya , Aşağı Öveçler,4,145,25,2,26000
 Etimesgut , Şehit Osman Avcı,2,55,11,0,22000
 Çankaya , Sokullu Mehmet Paşa,4,125,25,3,32000
 Çankaya , Sokullu Mehmet Paşa,5,145,22,-1,20000
 Sincan , Mareşal Çakmak,4,120,23,1,15500
 Mamak , Ege,4,145,5,6,30000
 Çankaya , Çamlıtepe,3,105,35,6,20000
 Keçiören , Aşağı Eğlence,4,140,18,1,30000
 Keçiören , Yakacık,3,95,28,-2,10900
 Sincan , Törekent,3,100,0,3,24000
 Etimesgut , Piyade,4,155,18,1,21000
 Çankaya , Kültür,4,100,40,1,28000
 Çankaya , Kültür,4,100,40,1,28000
 Çankaya , Çankaya,4,140,32,3,35000
 Keçiören , Ayvalı,4,160,20,1,32000
 Keçiören , Etlik,4,130,25,2,25500
 Sincan , Selçuklu,3,125,15,1,16000
 Etimesgut , Şeyh Şamil,4,98,25,3,19000
 Keçiören , Pınarbaşı,4,110,30,1,13150
 Yenimahalle , Kentkoop,5,165,24,7,27000
 Altındağ , Aydınlıkevler,4,130,10,2,29000
 Sincan , 29 Ekim,3,100,8,1,13500
 Yenimahalle , Gazi,3,90,18,1,25500
 Keçiören , Ayvalı,3,107,2,4,45000
 Çankaya , Bayraktar,4,175,16,-1,35000
 Çankaya , Hilal,5,150,24,0,30000
 Altındağ , Aydınlıkevler,4,100,25,1,17000
 Çankaya , Yücetepe,4,100,43,1,25500
 Çankaya , Güzeltepe,4,110,50,5,25000
 Mamak , Şahintepe,2,120,16,2,18000
 Keçiören , Yayla,4,120,16,-1,25000
 Çankaya , Naci Çakır,4,130,29,1,24500
 Çankaya , Aşıkpaşa,4,140,27,-1,23000
 Mamak , Akdere,4,135,25,6,21000
 Mamak , Kartaltepe,4,105,10,1,18000
 Sincan , Plevne,4,120,32,4,16000
 Mamak , Demirlibahçe,4,115,15,2,15000
 Çankaya , Karapınar,4,151,16,1,25900
 Altındağ , Aydınlıkevler,3,80,31,1,16000
 Çubuk , Esenboğa Merkez,3,70,2,3,15000
 Mamak , Balkiraz,2,90,30,2,15000
 Çankaya , Cevizlidere,4,155,20,3,30000
 Çankaya , Şehit Cevdet Özdemir,4,130,28,3,24000
 Keçiören , Bademlik,4,150,14,1,19000
 Çankaya , İlkadım,5,155,0,3,31000
 Yenimahalle , Mehmet Akif Ersoy,3,100,20,4,20000
 Çankaya , Meşrutiyet,4,145,45,2,25000
 Gölbaşı , Örencik,3,65,0,1,25000
 Keçiören , Esertepe,4,120,15,1,15000
 Gölbaşı , Taşpınar,2,55,0,1,17500
 Yenimahalle , Ata,4,150,10,6,25000
 Çankaya , Aşağı Öveçler,4,135,18,3,29250
 Keçiören , Ayvalı,4,120,45,1,20000
 Etimesgut , Kazım Karabekir,4,125,18,2,18000
 Keçiören , Etlik,4,138,30,1,19000
 Keçiören , Yakacık,4,135,30,3,14500
 Çankaya , Huzur,4,120,28,6,25000
 Çankaya , Ön Cebeci,4,110,40,3,22000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı,4,100,35,1,33000
 Çankaya , Akpınar,5,160,15,2,33000
 Altındağ , Feridun Çelik,3,100,5,1,15000
 Altındağ , Örnek,4,115,40,6,13000
 Çankaya , Yukarı Bahçelievler,4,115,35,2,32000
 Çankaya , Kavaklıdere,4,125,54,2,25000
 Çankaya , Emek,4,110,24,3,35000
 Çankaya , Yaşamkent,5,180,20,6,39000
 Altındağ , Zübeyde Hanım,4,110,35,1,18000
 Gölbaşı , İncek,4,105,2,2,29500
 Çankaya , Gökkuşağı,4,115,15,1,20000
 Çankaya , Harbiye,4,110,35,1,20000
