İlçe,Mahalle,Oda Sayısı,m^2,Bina Yaşı,Kat,Fiyat
 Çankaya , Gaziosmanpaşa,4,120,10,1,22000
 Çankaya , İlkadım,5,100,25,0,19000
 Etimesgut , Yapracık,4,135,8,7,20000
 Sincan , Andiçen,4,130,22,1,20000
 Keçiören , Basınevleri,4,115,9,1,17500
 Mamak , Abidinpaşa,4,100,31,1,15000
 Mamak , Abidinpaşa,3,90,20,0,19500
 Sincan , Gazi Osmanpaşa,3,120,21,3,16000
 Keçiören , Ayvalı,4,130,15,1,19000
 Gölbaşı , Taşpınar,2,65,5,6,30000
 Gölbaşı , Taşpınar,2,90,0,8,30000
 Çankaya , Kavaklıdere,4,120,39,2,22500
 Etimesgut , Ayyıldız,2,110,23,4,18000
 Çankaya , Esatoğlu,4,100,20,-1,21500
 Gölbaşı , Örencik,2,55,0,3,25000
 Keçiören , Çaldıran,4,110,16,1,14000
 Mamak , Durali Alıç,4,130,11,2,20000
 Yenimahalle , Gazi,3,90,5,0,25000
 Keçiören , Şenlik,4,115,40,1,15000
 Çankaya , İleri,3,70,35,0,16000
 Çankaya , Çukurambar,5,192,20,1,45000
 Yenimahalle , Gazi,4,130,8,1,26000
 Çankaya , Cebeci,4,105,30,1,15000
 Mamak , Akdere,4,105,25,6,13500
 Çankaya , Büyükesat,3,90,0,2,34000
 Etimesgut , Altay,4,110,25,1,21000
 Çankaya , Aşağı Öveçler,4,130,25,2,26000
 Çankaya , Fakülteler,4,110,45,5,23000
 Çankaya , Ümit,5,195,24,2,39500
 Keçiören , Tepebaşı,4,110,30,2,37500
 Yenimahalle , Yunus Emre,4,135,8,2,30000
 Yenimahalle , İnönü,4,125,26,5,20000
 Altındağ , Yıldıztepe,4,120,10,2,19000
 Keçiören , Etlik,4,130,25,3,20000
 Sincan , 29 Ekim,3,80,0,0,16000
 Yenimahalle , İnönü,4,120,25,2,25000
 Sincan , Mustafa Kemal,4,120,5,1,15000
 Keçiören , Çaldıran,4,138,23,2,15000
 Sincan , Akşemsettin,4,126,22,3,15000
 Mamak , Kutlu,3,95,15,-2,13000
 Yenimahalle , Demetgül,4,135,26,2,17000
 Çankaya , Huzur,4,150,25,2,26500
 Yenimahalle , Kentkoop,3,85,30,3,18500
 Sincan , Fatih,4,120,25,4,17000
 Çankaya , Yaşamkent,5,170,16,1,35000
 Çankaya , Şehit Cengiz Karaca,4,140,15,-1,25000
 Keçiören , Karakaya,4,130,10,1,17000
 Çankaya , Sancak,4,120,21,1,23000
 Sincan , 29 Ekim,4,114,17,4,16000
 Keçiören , Pınarbaşı,3,128,15,6,14990
 Etimesgut , Kazım Karabekir,4,125,20,1,19500
 Polatlı , Cumhuriyet,4,160,15,6,10000
 Keçiören , Tepebaşı,4,120,30,3,15500
 Çankaya , Anıttepe,3,90,31,0,20000
 Çankaya , Birlik,4,150,25,2,43000
 Keçiören , Tepebaşı,4,105,25,1,15000
 Çankaya , Maltepe,3,85,30,2,10000
 Sincan , Mustafa Kemal,4,130,9,3,16000
 Çankaya , Yaşamkent,2,44,5,3,20500
 Çankaya , Şehit Cevdet Özdemir,5,150,17,-1,26000
 Sincan , Fevzi Çakmak,5,180,5,3,25000
 Polatlı , Cumhuriyet,4,125,20,4,12000
 Çubuk , Esenboğa Merkez,3,65,5,1,15000
 Yenimahalle , Demetevler,4,115,30,7,17500
 Etimesgut , Atayurt,3,95,11,5,13000
 Yenimahalle , Emniyet,2,82,0,8,35000
 Çankaya , Emek,4,120,25,3,30000
 Etimesgut , Piyade,4,115,15,3,15750
 Çankaya , Akpınar,4,110,15,-1,19000
 Gölbaşı , Taşpınar,2,60,0,1,22500
 Keçiören , Atapark,4,140,12,2,16500
 Çankaya , İlkadım,4,110,30,2,21000
 Yenimahalle , Avcılar,4,130,15,5,19000
 Çankaya , Ertuğrulgazi,4,100,30,4,16500
 Polatlı , İstiklal,4,145,21,3,13000
 Etimesgut , Atayurt,3,90,10,3,15000
 Keçiören , Şenlik,4,120,30,3,13500
 Çankaya , Murat,2,65,32,1,19500
 Keçiören , Kavacık Subayevleri,4,101,35,3,17000
 Sincan , Ertuğrulgazi,4,120,25,4,15000
 Sincan , Mareşal Çakmak,4,130,23,1,18000
 Çankaya , İlkadım,4,120,27,1,23000
 Etimesgut , Eryaman,4,135,14,8,27000
 Etimesgut , Devlet,4,140,11,2,25500
 Mamak , Tuzluçayır,3,120,16,3,16000
 Gölbaşı , Kızılcaşar,2,45,0,0,18500
 Keçiören , Ayvalı,4,125,20,2,20000
 Yenimahalle , Demetevler,4,130,35,2,18000
 Çankaya , İşçi Blokları,2,65,6,4,40000
 Keçiören , Şehit Kubilay,3,100,20,0,15000
 Mamak , Zirvekent,3,86,10,3,10000
 Çankaya , Akpınar,4,130,20,3,22000
 Mamak , Fahri Korutürk,4,100,15,0,15000
 Çankaya , Güvenevler,4,110,45,1,35000
 Mamak , Akdere,2,65,5,0,20000
 Yenimahalle , Demetgül,2,65,33,0,19500
 Çankaya , Emek,5,150,40,3,35000
 Çankaya , İncesu,4,110,0,4,30000
 Keçiören , Aşağı Eğlence,4,110,30,-1,22000
 Mamak , Kusunlar,3,90,10,3,15000
 Mamak , Türközü,4,110,25,2,15000
 Keçiören , Yayla,4,130,15,0,24000
 Gölbaşı , Eymir,4,102,19,4,20000
 Gölbaşı , Karşıyaka,4,110,16,2,20000
 Yenimahalle , Kentkoop,4,120,25,3,23000
 Çankaya , Büyükesat,3,130,23,2,34000
 Mamak , General Zeki Doğan,4,125,15,3,19000
 Çankaya , Seyranbağları,3,80,35,1,16000
 Keçiören , Yükseltepe,4,135,10,1,18000
 Yenimahalle , Işınlar,3,145,20,3,27000
 Yenimahalle , Serhat,4,165,11,4,26000
 Etimesgut , Elvan,2,80,15,-1,18500
 Keçiören , Yayla,4,140,5,1,15000
 Çankaya , Malazgirt,5,165,18,-1,25000
 Çankaya , Seyranbağları,4,110,30,1,25000
 Keçiören , Etlik,4,125,26,1,19000
 Çankaya , Aydınlar,3,105,24,0,19000
 Polatlı , Cumhuriyet,4,125,25,0,11000
 Keçiören , Uyanış,4,135,15,1,21000
 Etimesgut , Eryaman,3,84,20,5,18500
 Yenimahalle , Beştepe,4,120,25,5,37000
 Sincan , Akşemsettin,4,100,30,1,13000
 Altındağ , Aydınlıkevler,3,90,45,1,12500
 Etimesgut , Turkuaz,3,94,12,7,10950
 Keçiören , Aşağı Eğlence,4,100,35,3,20000
 Gölbaşı , İncek,3,65,0,0,18000
 Keçiören , Ayvalı,4,125,29,6,16000
 Çankaya , Bağcılar,2,70,5,1,24500
 Çubuk , Cumhuriyet,2,60,3,0,9000
 Keçiören , Ufuktepe,4,135,13,3,20000
 Altındağ , Atıfbey,5,120,40,1,14000
 Sincan , Hürriyet,2,65,5,2,8000
 Çankaya , Bahçelievler,3,80,35,1,27000
 Çankaya , Dodurga,4,130,17,1,26000
 Etimesgut , Eryaman,3,90,20,3,25000
 Altındağ , Aydınlıkevler,4,128,30,1,18500
 Çankaya , Umut,4,115,25,3,25000
 Çankaya , Şehit Cengiz Karaca,4,135,30,3,25000
 Keçiören , Güçlükaya,4,105,26,1,16000
 Çankaya , Aziziye,3,100,40,3,24000
 Çankaya , Yukarı Bahçelievler,3,80,6,0,32500
 Etimesgut , Yapracık,4,117,12,8,15000
 Keçiören , Yakacık,4,127,35,4,17500
 Keçiören , Emrah,3,75,30,-1,14000
 Altındağ , Güneşevler,2,70,12,0,10000
 Etimesgut , Bağlıca,3,95,0,2,27000
 Polatlı , Mehmet Akif,4,145,12,2,12000
 Altındağ , Aydınlıkevler,3,110,48,4,15500
 Gölbaşı , İncek,5,140,0,6,30000
 Yenimahalle , Batı Sitesi,2,55,0,0,20000
 Çankaya , Mürsel Uluç,4,133,2,0,19500
 Etimesgut , Altay,3,110,30,1,22500
 Çankaya , Esatoğlu,2,70,45,3,17000
 Etimesgut , Atayurt,4,120,5,8,17000
 Çankaya , Şehit Cevdet Özdemir,4,140,18,3,33000
 Etimesgut , Yeni Bağlıca,5,165,14,3,34000
 Yenimahalle , Demetevler,4,137,30,6,20000
 Çankaya , Çamlıtepe,3,80,35,1,18000
 Altındağ , Örnek,3,75,30,3,12000
 Çankaya , Birlik,3,140,4,0,45000
 Yenimahalle , Güventepe,4,145,12,3,26000
 Keçiören , Karargahtepe,4,100,30,1,16000
 Yenimahalle , Ragıp Tüzün,3,90,9,3,32000
 Etimesgut , Etiler,4,110,20,2,20500
 Çankaya , Mebusevleri,3,75,40,4,15000
 Altındağ , Zübeyde Hanım,4,117,30,3,21000
 Etimesgut , Yapracık,3,120,12,3,17000
 Çankaya , Ertuğrulgazi,5,145,30,2,25000
 Keçiören , Yükseltepe,4,120,8,1,21000
 Mamak , Abidinpaşa,3,90,20,1,19000
 Etimesgut , Bağlıca,3,95,0,1,28000
 Çankaya , Büyükesat,2,60,1,1,25000
 Çankaya , İncesu,4,120,18,3,21500
 Çankaya , Nasuh Akar,4,110,30,-1,30000
 Sincan , Osmanlı,4,110,25,6,14000
 Çankaya , Sokullu Mehmet Paşa,4,115,30,1,25000
 Sincan , Pınarbaşı,4,125,14,3,17000
 Gölbaşı , İncek,4,100,1,2,23500
 Keçiören , Etlik,4,135,16,3,23000
 Yenimahalle , Özevler,5,180,10,3,31000
 Mamak , Durali Alıç,4,115,12,3,16000
 Keçiören , Tepebaşı,4,120,21,2,17000
 Keçiören , Aşağı Eğlence,4,138,45,2,25000
 Yenimahalle , Kentkoop,3,90,30,2,26000
 Etimesgut , Topçu,4,145,17,2,22000
 Yenimahalle , Kardelen,2,110,27,3,22500
 Gölbaşı , Eymir,4,120,10,1,18000
 Yenimahalle , İnönü,4,110,30,1,18000
 Keçiören , Çaldıran,4,140,23,3,15000
 Keçiören , Ayvalı,5,165,10,1,27000
 Sincan , Fevzi Çakmak,4,140,5,1,20000
 Keçiören , Aşağı Eğlence,4,120,30,1,25000
 Yenimahalle , Yunus Emre,4,120,23,3,20000
 Etimesgut , Tunahan,3,70,27,4,32000
 Çankaya , Harbiye,4,120,24,2,26000
 Mamak , Fahri Korutürk,4,130,15,1,16000
 Yenimahalle , Demetgül,4,100,11,0,14500
 Gölbaşı , İncek,2,50,1,2,15250
 Çankaya , Gökkuşağı,4,120,20,1,22000
 Çankaya , İlkbahar,4,150,5,3,35000
 Mamak , Aşık Veysel,4,130,25,6,15000
 Çankaya , Kültür,4,120,35,0,25000
 Çankaya , Büyükesat,3,110,27,-2,29000
 Mamak , Akşemsettin,4,125,12,2,20000
 Keçiören , İncirli,3,110,15,3,17500
 Keçiören , Basınevleri,4,110,28,0,16000
 Çankaya , Ön Cebeci,4,110,35,3,20000
 Çankaya , Ayrancı,4,115,31,6,28000
 Çankaya , Yukarı Dikmen,4,130,31,5,35000
 Çankaya , Kavaklıdere,4,156,30,1,35000
 Çankaya , Güvenevler,2,65,1,1,24000
 Keçiören , Kavacık Subayevleri,4,115,29,1,23000
 Çankaya , Kavaklıdere,4,100,45,1,20000
 Gölbaşı , Taşpınar,2,60,0,1,23000
 Keçiören , Yayla,3,120,8,2,20000
 Pursaklar , Mimar Sinan,4,115,16,3,15000
 Çankaya , Bayraktar,3,90,40,1,18000
 Çankaya , Mebusevleri,4,135,35,3,31000
 Keçiören , Şenlik,2,50,15,0,11500
 Keçiören , Atapark,3,110,5,1,18500
 Keçiören , Sancaktepe,4,140,10,7,22500
 Altındağ , Kale,3,100,40,4,8000
 Altındağ , Aydınlıkevler,3,95,50,3,9000
 Yenimahalle , Demetevler,4,130,40,3,20000
 Çankaya , Huzur,4,125,16,1,20000
 Yenimahalle , Demetevler,4,110,30,6,12000
 Çankaya , Maltepe,3,85,40,1,25000
 Altındağ , Örnek,3,78,40,1,11000
 Sincan , Fevzi Çakmak,4,145,3,1,20000
 Çankaya , Harbiye,4,115,30,1,23500
 Sincan , Plevne,4,130,12,2,18000
 Mamak , General Zeki Doğan,4,114,19,6,15000
 Sincan , Törekent,3,115,1,3,23000
 Çankaya , Sokullu Mehmet Paşa,4,100,30,3,24500
 Keçiören , Ayvalı,4,120,30,2,15000
 Keçiören , Yayla,4,150,7,3,19000
 Yenimahalle , Demetlale,4,120,35,0,12000
 Keçiören , Ayvalı,4,110,15,3,15000
 Çankaya , Beytepe,4,150,12,1,32000
 Çankaya , Karapınar,4,140,16,2,25000
 Altındağ , Beşikkaya,3,70,10,0,10000
 Keçiören , Bademlik,4,135,14,1,16500
 Çankaya , Güvenevler,4,120,50,3,31000
 Keçiören , Aşağı Eğlence,4,110,30,1,16000
 Çankaya , Yukarı Bahçelievler,4,135,35,1,33000
 Etimesgut , Yeşilova,3,90,0,2,25000
 Çankaya , Aşıkpaşa,4,125,15,2,26000
 Çankaya , Seyranbağları,4,105,40,0,15000
 Yenimahalle , Demetevler,3,100,26,1,22000
 Yenimahalle , Batı Sitesi,5,150,26,0,35000
 Çankaya , Cebeci,4,140,25,0,22222
 Çankaya , Aşıkpaşa,2,70,5,2,20000
 Polatlı , Cumhuriyet,4,130,20,6,13000
 Yenimahalle , Ata,2,75,3,2,18000
 Çankaya , Yukarı Bahçelievler,4,106,0,2,42000
 Çankaya , Ata,4,130,20,-1,35000
 Mamak , Akşemsettin,4,157,5,3,17500
 Yenimahalle , Emniyet,2,85,0,6,35000
 Yenimahalle , Serhat,4,140,16,2,23000
 Çankaya , Aşağı Öveçler,4,113,35,2,25000
 Etimesgut , Elvan,2,115,15,1,18000
 Etimesgut , Bağlıca,3,110,2,8,35000
 Etimesgut , Alsancak,3,90,14,1,15000
 Mamak , Şahintepe,4,100,40,-1,12000
 Mamak , Demirlibahçe,3,120,40,3,15000
 Çankaya , Güzeltepe,3,90,31,2,37000
 Mamak , Cengizhan,4,110,5,0,13000
 Gölbaşı , İncek,3,85,0,1,24000
 Keçiören , Aşağı Eğlence,4,120,29,6,18000
 Mamak , General Zeki Doğan,4,135,25,1,18000
 Mamak , Şahintepe,5,150,12,3,19000
 Etimesgut , Atayurt,4,117,12,4,17000
 Çankaya , Aziziye,3,100,40,3,24000
 Çankaya , Çiğdem,4,110,30,5,25000
 Mamak , Mehtap,4,110,20,1,15000
 Çankaya , Mustafa Kemal,2,65,3,5,30000
 Altındağ , Battalgazi,4,120,12,1,12500
 Keçiören , Tepebaşı,4,110,30,1,16000
 Etimesgut , Şehit Osman Avcı,2,65,5,2,21000
 Etimesgut , Şeker,3,95,10,2,20500
 Keçiören , Güçlükaya,4,120,20,1,20000
 Gölbaşı , Kızılcaşar,2,110,0,6,25000
 Etimesgut , Ahi Mesut,4,150,10,6,40000
 Çubuk , Aşağıçavundur,3,70,15,3,7500
 Çankaya , Cevizlidere,3,90,13,-1,28000
 Çankaya , İleri,3,95,35,1,13000
 Çankaya , Barbaros,3,85,31,4,25500
 Keçiören , Ayvalı,2,62,1,5,30000
 Çankaya , Murat,4,120,36,1,25000
 Etimesgut , Bağlıca,2,45,1,3,31000
 Keçiören , Aşağı Eğlence,3,80,35,-1,12500
 Altındağ , Örnek,3,80,52,3,13000
 Çankaya , Anıttepe,2,65,3,2,25000
 Altındağ , Yıldıztepe,4,120,10,3,18250
 Yenimahalle , Demetgül,4,130,25,2,25000
 Çankaya , Kavaklıdere,4,120,30,4,28500
 Yenimahalle , Batı Sitesi,2,55,0,1,18750
 Çankaya , İlkadım,2,86,21,8,28500
 Yenimahalle , Burç,4,120,10,5,21000
 Altındağ , Örnek,3,75,30,-1,12000
 Çubuk , Yavuzselim,4,125,21,3,13500
 Çankaya , Ayrancı,3,115,30,6,28000
 Altındağ , Başpınar,5,125,7,3,19000
 Mamak , Yeni Bayındır,4,110,14,4,13850
 Çankaya , Tınaztepe,3,130,30,2,22000
 Mamak , Balkiraz,4,110,30,3,18000
 Çubuk , Yıldırım Beyazıt,4,145,11,2,16000
 Sincan , Alcı,4,150,3,5,13000
 Keçiören , Pınarbaşı,3,110,15,-1,12500
 Akyurt , Yeşiltepe,3,75,12,3,12500
 Keçiören , Atapark,4,135,5,3,20000
 Etimesgut , Süvari,4,130,16,2,25000
 Keçiören , İncirli,4,110,27,1,20000
 Yenimahalle , Esentepe,4,120,18,3,19500
 Sincan , Alcı,4,145,5,1,12000
 Sincan , Fevzi Çakmak,4,120,5,6,22000
 Etimesgut , Şeker,4,160,5,1,32000
 Sincan , Malazgirt,4,125,12,2,15000
 Etimesgut , 30 Ağustos,4,110,25,2,18000
 Mamak , Dostlar,4,130,10,5,19000
 Sincan , Törekent,4,143,10,4,25000
 Altındağ , Karapürçek,4,130,7,2,20000
 Mamak , Kayaş,3,100,10,1,12500
 Çankaya , Maltepe,4,85,26,0,30000
 Çankaya , Seyranbağları,2,45,20,0,15000
 Keçiören , Aşağı Eğlence,4,130,40,2,25000
 Polatlı , Zafer,4,130,30,6,12000
 Polatlı , Fatih,4,135,20,3,13500
 Yenimahalle , Özevler,4,130,30,2,22000
 Keçiören , Bağlarbaşı,3,85,30,3,11000
 Çankaya , Aziziye,4,150,25,1,45000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı,3,106,25,3,30000
 Pursaklar , Saray Cumhuriyet,4,135,18,2,13750
 Keçiören , Bademlik,4,120,13,0,14500
 Yenimahalle , Ergenekon,4,115,25,1,17500
 Yenimahalle , Kentkoop,4,120,25,4,22000
 Yenimahalle , Turgut Özal,4,140,15,2,34000
 Yenimahalle , Demetevler,4,115,30,4,22000
 Yenimahalle , Demetevler,4,140,25,1,20000
 Akyurt , Yıldırım,4,135,5,3,10500
 Etimesgut , Güzelkent,4,115,15,2,26000
 Kahramankazan , Atatürk,4,150,5,1,17000
 Yenimahalle , Ostim OSB,5,160,10,6,35000
 Haymana , Çaldağ,3,100,5,1,16500
 Gölbaşı , Bahçelievler,4,125,15,3,21000
 Çankaya , Bahçelievler,3,110,30,0,30000
 Yenimahalle , Yakacık,4,135,0,2,17000
 Çankaya , Beytepe,4,165,5,1,35000
 Mamak , Şirintepe,4,145,13,1,16000
 Yenimahalle , Serhat,4,150,17,3,32000
 Etimesgut , Alsancak,4,125,10,0,15500
 Gölbaşı , Bahçelievler,4,130,20,3,20000
 Altındağ , Feridun Çelik,4,130,5,4,19000
 Pursaklar , Saray Fatih,4,135,18,1,18500
 Keçiören , 19 Mayıs,4,140,20,3,22000
 Sincan , Mareşal Çakmak,4,110,25,2,13500
 Altındağ , Karapürçek,4,130,5,6,18000
 Altındağ , Karapürçek,4,130,12,3,15000
 Çankaya , Huzur,4,150,21,1,21000
 Sincan , Mustafa Kemal,4,150,3,2,19000
 Altındağ , Feridun Çelik,4,160,5,7,22000
 Sincan , Yunus Emre,4,120,16,3,18999
 Çankaya , Metin Akkuş,4,150,20,3,20000
 Çankaya , Harbiye,3,90,28,1,26000
 Etimesgut , Şehit Osman Avcı,4,115,15,3,28000
 Akyurt , Yıldırım,5,140,15,1,16000
 Altındağ , Battalgazi,4,150,3,3,19500
 Sincan , Pınarbaşı,4,125,20,3,15000
 Sincan , 29 Ekim,4,135,0,6,22000
 Altındağ , Aydınlıkevler,3,75,30,1,15000
 Polatlı , Şentepe,4,135,25,4,10000
 Çankaya , Alacaatlı,2,52,0,4,22000
 Çankaya , Hilal,5,150,30,1,32000
 Keçiören , Uyanış,4,130,7,0,17000
 Çankaya , Akpınar,4,140,13,1,23500
 Çankaya , Çankaya,4,150,30,3,39750
 Çankaya , Birlik,5,150,0,2,35000
 Çankaya , Şehit Cevdet Özdemir,3,85,25,0,20000
 Keçiören , Sancaktepe,4,150,15,5,24000
 Keçiören , Ayvalı,4,135,20,1,23000
 Keçiören , Etlik,4,120,17,2,19000
 Sincan , Mareşal Çakmak,2,90,28,0,14000
 Mamak , General Zeki Doğan,4,105,12,-3,15000
 Gölbaşı , İncek,4,100,1,3,22500
 Çankaya , Erzurum,3,120,38,6,21500
 Sincan , Törekent,5,165,0,5,32000
 Çankaya , Akpınar,4,140,15,1,22000
 Yenimahalle , Yeniçağ,4,120,20,2,20000
 Gölbaşı , Kızılcaşar,2,55,5,3,35000
 Çankaya , Ayrancı,4,120,31,1,32000
 Çankaya , İlkadım,4,120,35,2,23000
 Keçiören , Aşağı Eğlence,4,120,21,2,21000
 Mamak , Kutlu,4,125,15,2,16500
 Çankaya , Harbiye,4,130,28,2,45000
 Keçiören , Aşağı Eğlence,4,135,40,6,27000
 Altındağ , Örnek,4,100,30,1,13500
 Etimesgut , Oğuzlar,4,110,22,5,20000
 Çankaya , Emek,4,95,38,2,27000
 Çankaya , Birlik,4,145,21,2,45000
 Çankaya , Şehit Cevdet Özdemir,3,80,30,0,19000
 Gölbaşı , İncek,2,50,0,1,19000
 Sincan , Mustafa Kemal,4,135,5,4,17000
 Çankaya , Barbaros,3,84,30,3,23000
 Etimesgut , Oğuzlar,4,110,25,3,20000
 Çankaya , Balgat,4,125,25,2,32000
 Mamak , Akşemsettin,4,125,7,3,18000
 Pursaklar , Mimar Sinan,4,125,20,1,14000
 Etimesgut , Yeşilova,3,85,0,7,24000
 Etimesgut , Turkuaz,3,94,13,5,17750
 Gölbaşı , Tulumtaş,4,125,15,6,13000
 Çankaya , Çankaya,3,150,20,1,7500
 Sincan , 29 Ekim,4,130,3,3,25000
 Çankaya , Aşıkpaşa,3,90,15,1,18500
 Keçiören , 19 Mayıs,4,105,25,0,15000
 Çankaya , Yukarı Bahçelievler,3,105,35,6,26000
 Yenimahalle , Demetgül,4,135,26,3,25000
 Çankaya , Kavaklıdere,3,100,45,5,40000
 Gölbaşı , İncek,2,80,1,2,28500
 Keçiören , Basınevleri,4,140,20,1,18000
 Polatlı , Şentepe,5,150,0,7,18500
 Keçiören , Kavacık Subayevleri,3,95,30,-1,18000
 Etimesgut , Topçu,4,120,20,1,18000
 Mamak , Fahri Korutürk,4,120,18,0,12000
 Yenimahalle , Yuvaköy,3,80,0,3,28000
 Yenimahalle , Ergenekon,4,120,25,2,17500
 Yenimahalle , Tepealtı,3,90,20,0,15000
 Polatlı , Kurtuluş,4,135,10,0,14500
 Gölbaşı , Kızılcaşar,3,120,2,2,15000
 Altındağ , Örnek,3,78,38,2,10000
 Etimesgut , Şeyh Şamil,2,55,28,6,19000
 Çankaya , Harbiye,4,119,30,1,27500
 Çankaya , Mürsel Uluç,4,130,20,3,21000
 Sincan , Plevne,4,120,22,3,17000
 Mamak , Tuzluçayır,4,115,17,6,14000
 Gölbaşı , İncek,2,45,0,3,16500
 Keçiören , Etlik,4,120,27,3,20000
 Gölbaşı , Kızılcaşar,2,65,4,1,18250
 Gölbaşı , Taşpınar,2,60,0,1,25000
 Çankaya , Yukarı Bahçelievler,2,60,35,0,20000
 Çankaya , İleri,4,115,30,4,20000
 Altındağ , Aydınlıkevler,4,125,28,3,17500
 Keçiören , Etlik,4,110,30,2,15000
 Polatlı , Şehitlik,4,130,20,0,11000
 Çankaya , Aşağı Öveçler,4,135,25,2,29000
 Keçiören , Etlik,4,110,5,0,12000
 Çankaya , Sokullu Mehmet Paşa,3,90,35,0,22000
 Çankaya , Mürsel Uluç,4,120,20,3,25000
 Çankaya , Fidanlık,4,108,30,3,20000
 Altındağ , Aydınlıkevler,4,120,35,1,15000
 Çankaya , Sokullu Mehmet Paşa,4,110,26,3,20000
 Yenimahalle , Uğur Mumcu,3,85,34,2,20500
 Çankaya , Muhsin Ertuğrul,4,110,50,2,22000
 Yenimahalle , Karşıyaka,4,130,16,2,17000
 Sincan , Atatürk,3,90,26,3,14000
 Çankaya , Ertuğrulgazi,4,120,18,2,20000
 Altındağ , Zübeyde Hanım,4,110,25,3,14500
 Çankaya , Büyükesat,4,157,25,2,43000
 Mamak , Şahintepe,3,100,14,-1,14000
 Keçiören , Hisar,4,140,8,1,18000
 Çankaya , Kavaklıdere,4,130,35,2,42000
 Yenimahalle , Demetevler,4,115,30,4,22000
 Etimesgut , Yeşilova,4,129,6,3,28200
 Keçiören , Esertepe,4,125,22,1,25000
 Çankaya , Kırkkonaklar,5,160,16,1,32000
 Yenimahalle , Kardelen,4,120,28,1,22000
 Çankaya , Kazım Özalp,2,75,1,1,40000
 Mamak , Demirlibahçe,4,90,30,1,14500
 Çankaya , Kazım Özalp,2,50,0,1,40000
 Keçiören , Şenlik,4,120,35,2,16000
 Çankaya , Emek,4,100,40,3,30000
 Çankaya , Ayrancı,4,125,45,1,27500
 Yenimahalle , Gazi,3,90,17,3,25000
 Sincan , Menderes,4,135,10,4,18000
 Gölbaşı , İncek,2,55,0,1,17000
 Sincan , Alcı,4,145,3,6,10000
 Mamak , Peyami Safa,4,105,28,1,15000
 Mamak , General Zeki Doğan,4,130,0,2,25000
 Çankaya , Kırkkonaklar,2,55,2,3,21000
 Çankaya , Emek,4,85,40,1,28000
 Çankaya , Çamlıtepe,3,85,28,3,21000
 Yenimahalle , Yunus Emre,4,120,13,1,19000
 Çankaya , Sancak,3,90,30,1,22500
 Altındağ , Aydınlıkevler,3,98,32,2,10500
 Etimesgut , Topçu,4,115,25,5,22000
 Keçiören , Etlik,4,135,15,6,23750
 Mamak , Tuzluçayır,4,120,11,3,17500
 Keçiören , 19 Mayıs,4,100,35,2,20500
 Etimesgut , Atayurt,3,94,12,8,13000
 Çankaya , Güvenevler,2,65,1,1,26000
 Etimesgut , İstasyon,4,135,20,3,15500
 Yenimahalle , Demetgül,3,85,40,2,17000
 Çankaya , Büyükesat,4,110,21,-3,22000
 Çankaya , Öveçler,4,135,20,1,30000
 Altındağ , Örnek,3,75,12,1,14000
 Çubuk , Yıldırım Beyazıt,4,125,5,1,15000
 Pursaklar , Fatih,3,110,20,1,13000
 Çubuk , Yıldırım Beyazıt,2,85,2,2,15000
 Çankaya , Metin Oktay,4,105,22,2,18000
 Keçiören , Aşağı Eğlence,4,120,25,2,19500
 Sincan , Mareşal Çakmak,4,125,22,3,13000
 Gölbaşı , Bahçelievler,4,130,16,3,20000
 Çankaya , Ön Cebeci,4,110,25,3,27000
 Sincan , Mareşal Çakmak,4,110,16,1,15000
 Keçiören , Köşk,4,95,27,6,16500
 Yenimahalle , Ragıp Tüzün,4,140,20,3,25000
 Yenimahalle , Ergenekon,3,100,25,6,13000
 Altındağ , Örnek,3,80,35,0,10250
 Sincan , Alcı,4,145,5,3,12000
 Etimesgut , Şehit Osman Avcı,2,60,5,6,23000
 Polatlı , Fatih,4,140,20,6,12000
 Çankaya , Birlik,4,125,24,0,37000
 Çankaya , Harbiye,4,125,3,-2,26500
 Beypazarı , Hacıkara,4,135,11,1,20000
 Sincan , Fevzi Çakmak,3,95,11,6,13500
 Sincan , Atatürk,4,134,21,3,15000
 Çankaya , Fakülteler,3,120,35,3,24000
 Polatlı , Mehmet Akif,3,120,14,3,15000
 Yenimahalle , Yeni Batı,2,60,4,4,25000
 Çubuk , Yıldırım Beyazıt,4,130,8,3,15300
 Mamak , Bahçeleriçi,4,120,10,3,18000
 Keçiören , Köşk,4,120,25,1,16000
 Etimesgut , Altay,4,120,30,2,29000
 Keçiören , Esertepe,4,130,20,2,19500
 Sincan , Pınarbaşı,4,130,18,1,14000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı,4,140,25,3,37500
 Etimesgut , Şehit Osman Avcı,3,80,8,3,27000
 Yenimahalle , Demetgül,4,120,26,4,15000
 Akyurt , Yıldırım,4,135,4,3,13000
 Kahramankazan , Atatürk,4,145,5,4,17000
 Etimesgut , Aşağıyurtçu,5,195,4,3,31000
 Yenimahalle , Karşıyaka,4,130,31,1,17000
 Keçiören , Ayvalı,4,105,25,1,14750
 Etimesgut , Yeni Bağlıca,5,187,5,7,36000
 Keçiören , 19 Mayıs,4,135,18,3,18000
 Gölbaşı , Bahçelievler,4,125,10,1,18000
 Çankaya , Tınaztepe,3,110,31,1,26500
 Keçiören , Kalaba,4,105,28,0,14500
 Çankaya , Alacaatlı,2,56,0,3,25000
