İlçe,Mahalle,Oda,Salon,m^2,Bina Yaşı,Kat,Fiyat
 Çankaya , Birlik Mah.,1,1,80,10,1,35000
 Yenimahalle , İnönü Mah.,3,1,120,30,3,25000
 Çankaya , İlkadım Mah.,3,1,95,30,0,19500
 Yenimahalle , Gazi Mah.,1,1,55,0,1,30000
 Çankaya , Kazım Özalp Mah.,3,1,135,40,-2,29000
 Yenimahalle , Beştepe Mah.,3,1,100,40,6,24000
 Yenimahalle , Ergenekon Mah.,3,1,110,25,2,20000
 Altındağ , Aydınlıkevler Mah.,3,1,110,25,3,22000
 Çankaya , Güvenevler Mah.,2,1,100,2,1,54000
 Yenimahalle , Demetevler Mah.,3,1,135,31,5,17500
 Çankaya , Metin Oktay Mah.,3,1,128,38,3,17000
 Çankaya , Emek Mah.,2,1,90,40,0,25000
 Çankaya , Çamlıtepe Mah.,1,1,60,1,4,2900
 Yenimahalle , Batı Sitesi Mah.,1,1,55,0,7,32500
 Sincan , Tandoğan Mah.,3,1,120,20,2,14750
 Gölbaşı , İncek Mah.,1,1,60,6,2,26000
 Etimesgut , Şehit Osman Avcı Mah.,3,1,105,25,2,27000
 Çankaya , Metin Oktay Mah.,3,1,120,10,1,17000
 Mamak , Akdere Mah.,3,1,120,40,1,16000
 Keçiören , Aşağı Eğlence Mah.,3,1,115,30,0,11750
 Yenimahalle , Yunus Emre Mah.,3,1,110,15,1,19500
 Polatlı , Fatih Mah.,4,1,170,10,1,15000
 Yenimahalle , Emniyet Mah.,3,1,95,25,3,23000
 Sincan , Plevne Mah.,3,1,127,20,3,17000
 Polatlı , Gazi Mah.,2,1,80,7,3,20000
 Yenimahalle , Gazi Mah.,3,1,100,24,1,27000
 Çankaya , Yaşamkent Mah.,1,1,50,0,2,22000
 Mamak , General Zeki Doğan Mah.,3,1,110,20,1,15000
 Yenimahalle , Yunus Emre Mah.,3,1,110,18,1,25000
 Sincan , Fatih Mah.,2,1,75,30,5,12000
 Keçiören , Ovacık Mah.,4,1,195,0,7,35000
 Mamak , Durali Alıç Mah.,3,1,125,10,5,21000
 Çankaya , Sokullu Mehmet Paşa Mah.,4,1,140,20,-1,19000
 Sincan , Andiçen Mah.,2,1,90,16,0,12500
 Keçiören , Etlik Mah.,3,1,130,30,0,12000
 Sincan , Fevzi Çakmak Mah.,3,1,139,5,4,18000
 Mamak , Akşemsettin Mah.,4,1,170,0,4,32000
 Keçiören , Şehit Kubilay Mah.,3,1,120,8,0,15000
 Yenimahalle , Yeni Batı Mah.,3,1,135,11,3,30000
 Sincan , İstasyon Mah.,3,1,200,9,6,22000
 Çankaya , Metin Oktay Mah.,2,1,80,45,1,16000
 Etimesgut , Topçu Mah.,3,1,130,12,3,20000
 Keçiören , Esertepe Mah.,4,1,160,15,1,30000
 Keçiören , Ovacık Mah.,4,0,210,3,12,37000
 Elmadağ , Hasanoğlan Fatih Mah.,3,1,125,11,0,13500
 Etimesgut , Yapracık Mah.,3,1,118,12,9,15000
 Çankaya , Şehit Cengiz Karaca Mah.,3,1,115,8,4,29000
 Etimesgut , Bağlıca Mah.,4,1,150,6,7,37000
 Çankaya , Yıldızevler Mah.,3,1,125,22,5,35000
 Çankaya , İlkadım Mah.,2,1,115,21,13,26000
 Keçiören , Çiçekli Mah.,3,1,120,5,3,27500
 Etimesgut , Şehit Osman Avcı Mah.,1,1,54,24,14,22000
 Çankaya , Aşağı Öveçler Mah.,3,1,145,25,2,26000
 Etimesgut , Şehit Osman Avcı Mah.,1,1,55,11,0,22000
 Yenimahalle , Pamuklar Mah.,4,1,180,4,11,38000
 Çankaya , Sokullu Mehmet Paşa Mah.,3,1,125,25,3,32000
 Çankaya , Sokullu Mehmet Paşa Mah.,4,1,145,22,-1,20000
 Sincan , Mareşal Çakmak Mah.,3,1,120,23,1,15500
 Mamak , Ege Mah.,3,1,145,5,6,30000
 Çankaya , Çamlıtepe Mah.,2,1,105,35,6,20000
 Keçiören , Aşağı Eğlence Mah.,3,1,140,18,1,30000
 Çankaya , Remzi Oğuz Arık Mah.,2,1,85,1,1,55000
 Keçiören , Yakacık Mah.,2,1,95,28,-2,10900
 Sincan , Törekent Mah.,2,1,100,0,3,24000
 Etimesgut , Piyade Mah.,3,1,155,18,1,21000
 Çankaya , Yıldızevler Mah.,3,1,185,15,1,50000
 Keçiören , Şehit Kubilay Mah.,4,1,155,5,12,34000
 Çankaya , Kültür Mah.,3,1,100,40,1,28000
 Çankaya , Kültür Mah.,3,1,100,40,1,28000
 Çankaya , Çankaya Mah.,3,1,140,32,3,35000
 Keçiören , Ayvalı Mah.,3,1,160,20,1,32000
 Keçiören , Etlik Mah.,3,1,130,25,2,25500
 Sincan , Selçuklu Mah.,2,1,125,15,1,16000
 Mamak , Şahintepe Mah.,5,1,240,15,3,18400
 Etimesgut , Şeyh Şamil Mah.,3,1,98,25,3,19000
 Yenimahalle , Emniyet Mah.,1,1,85,0,9,30000
 Keçiören , Pınarbaşı Mah.,3,1,110,30,1,13150
 Yenimahalle , Kentkoop Mah.,4,1,165,24,7,27000
 Altındağ , Aydınlıkevler Mah.,3,1,130,10,2,29000
 Sincan , 29 Ekim Mah.,2,1,100,8,1,13500
 Yenimahalle , Gazi Mah.,2,1,90,18,1,25500
 Keçiören , Ayvalı Mah.,2,1,107,2,4,45000
 Çankaya , Bayraktar Mah.,3,1,175,16,-1,35000
 Çankaya , Hilal Mah.,4,1,150,24,0,30000
 Altındağ , Aydınlıkevler Mah.,3,1,100,25,1,17000
 Çankaya , Yücetepe Mah.,3,1,100,43,1,25500
 Çankaya , Mutlukent Mah.,4,2,313,7,5,200000
 Çankaya , Güzeltepe Mah.,3,1,110,50,5,25000
 Çankaya , Beytepe Mah.,4,1,210,0,9,55000
 Mamak , Şahintepe Mah.,1,1,120,16,2,18000
 Keçiören , Yayla Mah.,3,1,120,16,-1,25000
 Çankaya , Naci Çakır Mah.,3,1,130,29,1,24500
 Çankaya , Aşıkpaşa Mah.,3,1,140,27,-1,23000
 Çankaya , Alacaatlı Mah.,4,1,180,0,21,63000
 Mamak , Akdere Mah.,3,1,135,25,6,21000
 Mamak , Kartaltepe Mah.,3,1,105,10,1,18000
 Sincan , Plevne Mah.,3,1,120,32,4,16000
 Mamak , Demirlibahçe Mah.,3,1,115,15,2,15000
 Çankaya , Karapınar Mah.,3,1,151,16,1,25900
 Altındağ , Aydınlıkevler Mah.,2,1,80,31,1,16000
 Çubuk , Esenboğa Merkez Mah.,2,1,70,2,3,15000
 Mamak , Balkiraz Mah.,1,1,90,30,2,15000
 Çankaya , Cevizlidere Mah.,3,1,155,20,3,30000
 Çankaya , Şehit Cevdet Özdemir Mah.,3,1,130,28,3,24000
 Keçiören , Bademlik Mah.,3,1,150,14,1,19000
 Çankaya , İlkadım Mah.,4,1,155,0,3,31000
 Yenimahalle , Mehmet Akif Ersoy Mah.,2,1,100,20,4,20000
 Çankaya , Meşrutiyet Mah.,3,1,145,45,2,25000
 Gölbaşı , Örencik Mah.,2,1,65,0,1,25000
 Keçiören , Esertepe Mah.,3,1,120,15,1,15000
 Gölbaşı , Taşpınar Mah.,1,1,55,0,1,17500
 Yenimahalle , Ata Mah.,3,1,150,10,6,25000
 Çankaya , Aşağı Öveçler Mah.,3,1,135,18,3,29250
 Keçiören , Ayvalı Mah.,3,1,120,45,1,20000
 Etimesgut , Kazım Karabekir Mah.,3,1,125,18,2,18000
 Keçiören , Etlik Mah.,3,1,138,30,1,19000
 Keçiören , Yakacık Mah.,3,1,135,30,3,14500
 Çankaya , Huzur Mah.,3,1,120,28,6,25000
 Çankaya , Ön Cebeci Mah.,3,1,110,40,3,22000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı Mah.,3,1,100,35,1,33000
 Çankaya , Akpınar Mah.,4,1,160,15,2,33000
 Altındağ , Feridun Çelik Mah.,2,1,100,5,1,15000
 Etimesgut , Erler Mah.,4,1,185,13,11,50000
 Altındağ , Örnek Mah.,3,1,115,40,6,13000
 Çankaya , Beytepe Mah.,8,1,412,4,6,64000
 Çankaya , Emek Mah.,3,1,150,40,2,49500
 Çankaya , Yukarı Bahçelievler Mah.,3,1,115,35,2,32000
 Çankaya , Kavaklıdere Mah.,3,1,125,54,2,25000
 Çankaya , Emek Mah.,3,1,110,24,3,35000
 Çankaya , Yaşamkent Mah.,4,1,180,20,6,39000
 Altındağ , Zübeyde Hanım Mah.,3,1,110,35,1,18000
 Gölbaşı , İncek Mah.,3,1,105,2,2,29500
 Çankaya , Gökkuşağı Mah.,3,1,115,15,1,20000
 Etimesgut , Devlet Mah.,3,1,110,1,12,35000
 Çankaya , Harbiye Mah.,3,1,110,35,1,20000
 Çankaya , Bahçelievler Mah.,5,1,250,8,3,45000
 Yenimahalle , Ata Mah.,3,1,145,8,1,25750
 Mamak , Aşık Veysel Mah.,3,1,130,35,1,14000
 Çankaya , Emek Mah.,3,1,130,31,1,45000
 Yenimahalle , Kentkoop Mah.,3,1,110,25,5,25000
 Çankaya , Çiğdem Mah.,4,1,155,30,3,42000
 Çankaya , İşçi Blokları Mah.,3,1,164,17,5,40000
 Çankaya , Öveçler Mah.,4,1,170,15,3,22500
 Çankaya , Koru Mah.,3,1,110,25,8,41000
 Etimesgut , Şehit Osman Avcı Mah.,1,0,30,6,1,14000
 Keçiören , Şehit Kubilay Mah.,3,1,145,10,2,19000
 Yenimahalle , Uğur Mumcu Mah.,3,1,120,28,3,20000
 Etimesgut , Topçu Mah.,3,1,110,15,3,18500
 Etimesgut , Alsancak Mah.,3,1,130,15,-1,15500
 Çankaya , Yücetepe Mah.,2,1,96,60,1,30000
 Çankaya , Harbiye Mah.,3,1,120,30,2,22000
 Çankaya , Karapınar Mah.,4,1,170,15,6,30000
 Çankaya , Emek Mah.,4,1,180,7,3,44000
 Çankaya , Nasuh Akar Mah.,3,1,120,22,3,25500
 Mamak , Araplar Mah.,2,1,154,0,4,15000
 Yenimahalle , Mehmet Akif Ersoy Mah.,3,1,110,25,8,26000
 Altındağ , Güneşevler Mah.,3,1,168,6,2,36000
 Çankaya , Birlik Mah.,4,1,145,20,1,28000
 Mamak , Durali Alıç Mah.,3,1,155,12,5,22000
 Çankaya , Yukarı Bahçelievler Mah.,3,1,110,40,1,33000
 Etimesgut , Yeni Bağlıca Mah.,3,1,159,10,1,27500
 Etimesgut , Yeni Bağlıca Mah.,3,1,159,10,1,27500
 Etimesgut , Oğuzlar Mah.,3,1,110,25,7,20000
 Çankaya , Beytepe Mah.,1,1,82,0,4,34950
 Etimesgut , Alsancak Mah.,3,1,125,15,1,2150000
 Çankaya , Küçükesat Mah.,3,1,110,50,1,21000
 Çankaya , Kızılırmak Mah.,4,1,180,23,2,40000
 Çankaya , Naci Çakır Mah.,3,1,140,25,2,25000
 Keçiören , Yakacık Mah.,3,1,110,32,1,13500
 Mamak , Peyami Safa Mah.,3,1,110,25,1,15500
 Çankaya , Oğuzlar Mah.,3,1,110,27,2,24000
 Keçiören , Kuşcağız Mah.,3,1,135,30,2,20000
 Çankaya , Bahçelievler Mah.,1,0,55,5,1,20000
 Çankaya , Naci Çakır Mah.,3,1,135,27,1,21500
 Keçiören , Aşağı Eğlence Mah.,3,1,105,25,0,19500
 Keçiören , Aşağı Eğlence Mah.,3,1,110,35,1,25500
 Yenimahalle , Demetevler Mah.,3,1,120,20,2,18000
 Çankaya , Yaşamkent Mah.,1,1,30,5,-1,16500
 Etimesgut , 30 Ağustos Mah.,3,1,120,18,1,17250
 Yenimahalle , Tepealtı Mah.,3,1,160,17,4,21000
 Çankaya , Sokullu Mehmet Paşa Mah.,3,1,125,25,2,23000
 Keçiören , Ayvalı Mah.,3,1,125,18,1,22500
 Çankaya , Karapınar Mah.,3,1,140,17,2,25000
 Keçiören , Ayvalı Mah.,3,1,125,20,3,20500
 Keçiören , Şehit Kubilay Mah.,4,1,155,7,4,18500
 Yenimahalle , Yeni Batı Mah.,3,1,140,11,2,38000
 Keçiören , Ayvalı Mah.,3,1,115,29,-1,15000
 Çankaya , Seyranbağları Mah.,2,1,90,12,0,24000
 Mamak , Cengizhan Mah.,3,1,150,12,1,20000
 Çankaya , İlkadım Mah.,2,1,115,21,9,24000
 Çankaya , Yukarı Dikmen Mah.,2,1,120,0,8,58000
 Çankaya , Ertuğrulgazi Mah.,3,1,110,35,1,15500
 Çankaya , Naci Çakır Mah.,2,1,95,24,1,22000
 Çankaya , Ayrancı Mah.,3,1,125,35,3,29500
 Yenimahalle , Karacakaya Mah.,3,0,183,6,1,25000
 Çankaya , Öveçler Mah.,3,1,150,20,3,29000
 Mamak , Fahri Korutürk Mah.,3,1,120,17,2,16500
 Çankaya , Ayrancı Mah.,3,1,120,20,4,28000
 Keçiören , Yayla Mah.,7,1,300,10,6,25000
 Sincan , Gazi Osmanpaşa Mah.,3,1,125,30,4,15000
 Altındağ , Aydınlıkevler Mah.,3,1,120,8,1,28500
 Çankaya , Maltepe Mah.,3,1,135,40,1,30000
 Çankaya , Aşıkpaşa Mah.,3,1,140,27,-1,23000
 Etimesgut , Yeni Bağlıca Mah.,4,1,160,10,2,36000
 Çankaya , İlker Mah.,5,1,285,15,4,45000
 Mamak , Demirlibahçe Mah.,3,1,115,29,1,15000
 Çankaya , Mustafa Kemal Mah.,4,1,200,15,1,43000
 Yenimahalle , Ergenekon Mah.,3,1,120,13,1,20000
 Mamak , Demirlibahçe Mah.,3,1,125,25,3,17000
 Mamak , Durali Alıç Mah.,3,1,140,9,3,22500
 Keçiören , Ayvalı Mah.,3,1,120,25,5,14500
 Yenimahalle , Ergazi Mah.,3,1,125,27,5,17000
 Etimesgut , Kazım Karabekir Mah.,2,1,80,20,1,13500
 Çankaya , Cevizlidere Mah.,3,1,150,15,1,31000
 Etimesgut , Yukarıyurtçu Mah.,2,1,95,10,6,15500
 Çankaya , Aydınlar Mah.,3,1,120,28,3,21000
