İlçe,Mahalle,Oda,Salon,m^2,Bina Yaşı,Kat,Fiyat
 Çankaya , Yaşamkent Mah.,2,1,57,1,1,20500
 Mamak , Akdere Mah.,3,1,100,40,1,13000
 Keçiören , Tepebaşı Mah.,3,1,130,30,-1,15000
 Etimesgut , Şeyh Şamil Mah.,3,1,138,16,1,20000
 Yenimahalle , Yunus Emre Mah.,3,1,110,24,1,19000
 Gölbaşı , İncek Mah.,2,1,80,2,3,30500
 Polatlı , İstiklal Mah.,4,1,171,3,9,21000
 Çankaya , Göktürk Mah.,3,1,115,24,3,28000
 Çankaya , Çukurambar Mah.,1,1,84,1,8,42000
 Çankaya , Kavaklıdere Mah.,3,1,140,45,5,33000
 Çankaya , Konutkent Mah.,1,1,68,6,3,28000
 Polatlı , Şehitlik Mah.,4,1,220,12,5,25000
 Keçiören , Esertepe Mah.,3,1,110,20,-1,17000
 Çankaya , İşçi Blokları Mah.,1,0,36,10,1,22000
 Yenimahalle , Demetevler Mah.,3,1,130,16,3,17000
 Mamak , Kazım Orbay Mah.,3,1,110,20,3,14000
 Çankaya , Mürsel Uluç Mah.,1,1,90,7,4,21500
 Sincan , Selçuklu Mah.,3,1,120,25,6,15500
 Çankaya , Öveçler Mah.,3,1,120,20,1,35000
 Mamak , Kutlu Mah.,3,1,115,5,1,16000
 Yenimahalle , İnönü Mah.,3,1,125,26,3,20000
 Çankaya , Emek Mah.,2,1,80,30,1,17000
 Polatlı , İstiklal Mah.,3,1,125,2,1,15000
 Polatlı , Cumhuriyet Mah.,3,1,135,25,3,13000
 Çankaya , Aşıkpaşa Mah.,2,1,110,15,1,30000
 Çankaya , İleri Mah.,2,1,100,30,-3,20500
 Çankaya , Bahçelievler Mah.,2,1,99,40,2,27000
 Etimesgut , Topçu Mah.,3,1,115,25,3,18000
 Çankaya , Emek Mah.,2,1,75,40,3,24000
 Çankaya , Gaziosmanpaşa Mah.,2,1,95,30,0,22000
 Çankaya , Güzeltepe Mah.,4,1,450,20,3,86000
 Mamak , Akdere Mah.,3,1,128,15,-2,16000
 Polatlı , Gülveren Mah.,3,1,140,18,6,11000
 Polatlı , Gazi Mah.,3,1,140,25,1,10500
 Yenimahalle , Demetlale Mah.,3,1,125,35,6,16000
 Polatlı , Zafer Mah.,3,1,140,25,4,10250
 Yenimahalle , Serhat Mah.,3,1,120,17,1,23750
 Yenimahalle , Turgut Özal Mah.,3,1,140,11,6,30000
 Çankaya , Mürsel Uluç Mah.,3,1,145,18,4,25000
 Etimesgut , Bağlıca Mah.,4,1,170,5,4,42000
 Çankaya , Ehlibeyt Mah.,3,1,120,30,3,26000
 Yenimahalle , Kentkoop Mah.,3,1,145,24,1,22000
 Altındağ , Hacettepe Mah.,3,1,165,39,4,20000
 Çankaya , İşçi Blokları Mah.,2,1,100,35,3,35000
 Polatlı , Cumhuriyet Mah.,3,1,145,25,0,21000
 Etimesgut , Devlet Mah.,3,1,120,3,3,37000
 Yenimahalle , Demetlale Mah.,3,1,125,30,1,18000
 Çankaya , Keklik Pınarı Mah.,2,1,95,6,0,18000
 Çankaya , Sağlık Mah.,2,1,85,25,2,24000
 Altındağ , Baraj Mah.,4,1,140,10,5,13000
 Etimesgut , Şeker Mah.,4,1,190,7,10,44000
 Çankaya , Anıttepe Mah.,2,1,85,31,0,18000
 Keçiören , Kavacık Subayevleri Mah.,3,1,115,35,1,22000
 Çankaya , Alacaatlı Mah.,2,1,85,4,2,35000
 Keçiören , Köşk Mah.,3,1,110,30,3,15000
 Çankaya , Kazım Özalp Mah.,5,1,300,15,6,70000
 Etimesgut , Turkuaz Mah.,2,1,94,15,10,12000
 Etimesgut , Süvari Mah.,3,1,115,18,3,17000
 Çankaya , Alacaatlı Mah.,1,1,70,0,3,27000
 Keçiören , İncirli Mah.,3,1,130,22,-2,15000
 Keçiören , Sancaktepe Mah.,3,1,110,16,1,20750
 Çankaya , Cevizlidere Mah.,3,1,135,15,2,29900
 Keçiören , Yayla Mah.,3,1,145,18,4,21500
 Sincan , Ertuğrulgazi Mah.,3,1,125,16,3,18000
 Yenimahalle , Yunus Emre Mah.,3,1,127,18,1,25000
 Çankaya , Çayyolu Mah.,4,1,220,15,1,47000
 Çankaya , Remzi Oğuz Arık Mah.,3,1,140,35,3,43000
 Keçiören , Çaldıran Mah.,2,1,115,25,1,12500
 Sincan , 29 Ekim Mah.,3,1,130,11,1,14500
 Keçiören , Atapark Mah.,3,1,125,5,1,15500
 Keçiören , Osmangazi Mah.,3,1,100,15,-1,13500
 Keçiören , Basınevleri Mah.,3,1,125,28,1,19999
 Yenimahalle , Yakacık Mah.,3,1,158,5,5,15000
 Çankaya , Koru Mah.,3,1,125,25,1,35500
 Çankaya , Fakülteler Mah.,3,1,130,25,0,22500
 Polatlı , Şehitlik Mah.,3,1,135,10,1,20000
 Sincan , Malazgirt Mah.,3,1,130,18,6,16500
 Pursaklar , Ayyıldız Mah.,3,1,125,18,2,25000
 Çubuk , Yavuzselim Mah.,3,1,150,6,3,14000
 Keçiören , Tepebaşı Mah.,2,1,95,30,2,17500
 Keçiören , Şenlik Mah.,3,1,130,27,1,20000
 Altındağ , Güneşevler Mah.,4,1,175,10,3,35750
 Mamak , Durali Alıç Mah.,3,1,145,5,2,22000
 Kahramankazan , Atatürk Mah.,4,1,175,5,2,23400
 Etimesgut , İstasyon Mah.,4,1,175,10,1,35000
 Etimesgut , Göksu Mah.,3,1,120,20,7,27500
 Altındağ , Baraj Mah.,3,1,130,12,0,16000
 Çankaya , Kültür Mah.,2,1,85,31,3,22000
 Keçiören , Etlik Mah.,3,1,135,17,3,23000
 Sincan , Osmanlı Mah.,3,1,130,21,4,14500
 Pursaklar , Saray Fatih Mah.,3,1,130,20,1,18500
 Yenimahalle , Beştepe Mah.,3,1,125,25,1,35000
 Keçiören , Şenlik Mah.,3,1,135,40,6,20000
 Etimesgut , Elvan Mah.,2,1,100,14,3,22500
 Sincan , Saraycık Mah.,3,1,123,4,3,21000
 Çankaya , Alacaatlı Mah.,2,1,90,4,8,29500
 Yenimahalle , Demetevler Mah.,3,1,150,26,11,25250
 Yenimahalle , Susuz Mah.,4,1,220,0,2,32000
 Mamak , Kıbrısköy Mah.,3,1,125,16,2,14500
 Keçiören , Sancaktepe Mah.,3,1,135,6,5,23000
 Çankaya , 100. Yıl Mah.,3,1,95,35,0,20000
 Sincan , Gazi Osmanpaşa Mah.,3,1,110,30,6,16000
 Keçiören , Şehit Kubilay Mah.,5,1,200,8,3,23500
 Etimesgut , İstasyon Mah.,3,1,145,13,2,30000
 Çankaya , Aşağı Öveçler Mah.,3,1,170,19,1,26750
 Yenimahalle , Demetgül Mah.,3,1,120,35,4,18500
 Mamak , Durali Alıç Mah.,4,1,270,8,8,30000
 Mamak , Durali Alıç Mah.,4,1,270,8,8,30000
 Çankaya , Beytepe Mah.,1,1,45,0,6,30000
 Yenimahalle , Burç Mah.,3,1,140,12,5,21000
 Pursaklar , Merkez Mah.,3,1,133,12,1,18000
 Çankaya , Kavaklıdere Mah.,3,1,135,31,4,21000
 Keçiören , Ayvalı Mah.,3,1,130,12,1,19000
 Sincan , Fatih Mah.,3,1,125,30,4,16000
 Gölbaşı , Taşpınar Mah.,1,1,50,0,1,22500
 Keçiören , Esertepe Mah.,4,1,180,1,4,40000
 Yenimahalle , Esentepe Mah.,3,1,110,25,6,18000
 Keçiören , Aşağı Eğlence Mah.,3,1,125,15,-1,21750
 Yenimahalle , İlkyerleşim Mah.,2,1,100,25,1,20000
 Yenimahalle , Burç Mah.,1,1,70,7,-2,16500
 Mamak , Bahçelerüstü Mah.,3,1,130,17,1,15000
 Yenimahalle , Barıştepe Mah.,3,1,140,16,6,23000
 Keçiören , İncirli Mah.,3,1,110,20,0,20000
 Mamak , Zirvekent Mah.,1,1,60,10,2,10000
 Keçiören , Ayvalı Mah.,2,1,110,18,18,36500
 Keçiören , İncirli Mah.,3,1,110,30,0,14000
 Yenimahalle , Turgut Özal Mah.,4,1,200,6,5,37000
 Çankaya , Birlik Mah.,4,1,165,16,1,36500
 Keçiören , Ayvalı Mah.,4,1,185,0,7,32500
 Mamak , Diriliş Mah.,1,1,85,4,13,20000
 Altındağ , Beşikkaya Mah.,2,1,100,15,-1,12000
 Keçiören , Tepebaşı Mah.,3,1,121,37,0,14750
 Mamak , Yeşilbayır Mah.,3,1,115,26,0,13500
 Yenimahalle , Ergazi Mah.,3,1,120,25,1,23500
 Sincan , Hürriyet Mah.,1,1,55,10,1,7000
 Çankaya , Büyükesat Mah.,3,1,130,31,1,32000
 Çankaya , Zafertepe Mah.,2,1,95,0,-1,22500
 Çankaya , Maltepe Mah.,3,1,155,27,3,35000
 Gölbaşı , Taşpınar Mah.,3,1,90,0,3,26000
 Çankaya , Oğuzlar Mah.,1,1,65,28,2,29500
 Çankaya , Büyükesat Mah.,1,1,70,0,-2,21000
 Çankaya , Oran Mah.,4,1,216,15,18,106000
 Çankaya , Alacaatlı Mah.,3,1,176,5,6,40000
 Sincan , Selçuklu Mah.,3,1,125,25,4,15000
 Keçiören , Aşağı Eğlence Mah.,3,1,110,30,-1,15500
 Çankaya , Beytepe Mah.,3,1,128,15,3,18500
 Keçiören , Kuşcağız Mah.,2,1,120,11,1,18000
 Altındağ , Karacaören Mah.,4,1,140,15,1,15000
 Mamak , Abidinpaşa Mah.,3,1,130,35,2,16000
 Altındağ , Aydınlıkevler Mah.,2,1,100,40,4,15500
 Pursaklar , Saray Fatih Mah.,3,1,135,19,1,14500
 Gölbaşı , Karşıyaka Mah.,3,1,135,0,1,40000
 Çankaya , Kavaklıdere Mah.,2,1,130,40,5,23500
 Polatlı , Şehitlik Mah.,4,1,220,4,6,25000
 Polatlı , Şehitlik Mah.,4,1,220,4,6,25000
 Etimesgut , Atayurt Mah.,3,1,140,5,0,14000
 Etimesgut , Ayyıldız Mah.,3,1,115,25,4,18000
 Çankaya , Akpınar Mah.,2,1,75,12,0,9500
 Çankaya , Ertuğrulgazi Mah.,2,1,75,35,1,14250
 Etimesgut , Atayurt Mah.,2,1,84,12,12,12500
 Çankaya , Şehit Cengiz Karaca Mah.,4,1,165,31,3,29000
 Altındağ , Karapürçek Mah.,3,1,125,15,2,15000
 Sincan , Menderes Mah.,3,1,125,4,2,18250
 Altındağ , Örnek Mah.,2,1,90,30,1,12500
 Çankaya , İleri Mah.,1,1,80,35,0,13000
 Çankaya , Yukarı Bahçelievler Mah.,2,1,85,1,1,40000
 Etimesgut , Oğuzlar Mah.,3,1,125,11,5,18500
 Yenimahalle , Serhat Mah.,3,1,133,8,10,21000
 Çankaya , İşçi Blokları Mah.,2,1,109,40,3,25000
 Mamak , Tuzluçayır Mah.,3,1,140,21,1,14000
 Çankaya , İşçi Blokları Mah.,1,1,55,30,1,35000
 Mamak , Bahçelerüstü Mah.,3,1,120,15,1,15500
 Çankaya , Bayraktar Mah.,2,1,95,40,1,18000
 Çankaya , Tınaztepe Mah.,3,1,120,40,2,30000
 Çankaya , Çamlıtepe Mah.,1,1,75,13,3,24000
 Çankaya , Emek Mah.,3,1,130,35,2,25000
 Mamak , General Zeki Doğan Mah.,3,1,115,15,0,17000
 Çankaya , Huzur Mah.,3,1,120,30,1,24000
 Çankaya , Topraklık Mah.,2,1,72,6,2,25000
 Yenimahalle , Ergenekon Mah.,3,1,105,35,2,18000
 Etimesgut , Yeşilova Mah.,4,1,194,2,2,43000
 Yenimahalle , Karşıyaka Mah.,3,1,140,25,3,19000
 Yenimahalle , Gazi Mah.,2,1,72,8,1,24500
 Pursaklar , Saray Fatih Mah.,3,1,110,18,1,14500
 Gölbaşı , Örencik Mah.,1,1,50,1,3,24500
 Etimesgut , Piyade Mah.,3,1,150,10,1,21000
 Çankaya , Umut Mah.,3,1,90,31,2,18500
 Yenimahalle , Beştepe Mah.,3,1,120,39,3,30500
 Mamak , Balkiraz Mah.,3,1,130,25,2,19000
 Altındağ , Hacettepe Mah.,3,1,145,9,3,25500
 Çankaya , Emek Mah.,3,1,95,50,1,17000
 Altındağ , Beşikkaya Mah.,3,1,120,6,3,15500
 Çankaya , Yukarı Bahçelievler Mah.,3,1,130,28,6,36000
 Keçiören , Yeşiltepe Mah.,3,1,110,15,3,18000
 Keçiören , Ayvalı Mah.,3,1,100,22,1,20000
 Çankaya , Metin Akkuş Mah.,3,1,120,28,1,22000
 Etimesgut , Piyade Mah.,3,1,120,21,6,16000
 Mamak , General Zeki Doğan Mah.,3,1,110,17,1,15000
 Etimesgut , Altay Mah.,4,1,150,1,10,45000
 Çankaya , Ata Mah.,2,1,115,20,1,20000
 Gölbaşı , İncek Mah.,1,1,46,0,1,19750
 Gölbaşı , İncek Mah.,1,1,46,0,1,19750
 Sincan , Gazi Osmanpaşa Mah.,3,1,110,30,6,16500
 Mamak , Türközü Mah.,3,1,115,5,3,23000
 Keçiören , Ayvalı Mah.,3,1,125,15,3,25500
 Etimesgut , Yeni Bağlıca Mah.,3,1,150,5,6,32000
 Yenimahalle , Yeni Batı Mah.,3,1,150,30,2,25000
 Çankaya , Kavaklıdere Mah.,2,1,118,50,5,40000
 Çankaya , Mebusevleri Mah.,3,1,130,31,1,30000
 Mamak , General Zeki Doğan Mah.,3,1,120,18,2,17000
 Keçiören , Emrah Mah.,3,1,109,30,0,20000
 Mamak , Çağlayan Mah.,3,1,120,10,2,18000
 Çankaya , Naci Çakır Mah.,4,1,150,30,1,18000
 Yenimahalle , Beştepe Mah.,3,1,100,25,1,20000
 Çankaya , Güzeltepe Mah.,4,1,220,15,-2,70000
 Keçiören , İncirli Mah.,3,1,110,29,1,16000
 Etimesgut , Bağlıca Mah.,2,1,100,6,9,30500
 Keçiören , Ayvalı Mah.,2,1,99,2,10,38500
 Gölbaşı , Tulumtaş Mah.,6,2,400,11,0,190000
 Çankaya , Maltepe Mah.,3,1,125,30,0,22000
 Çankaya , Kızılırmak Mah.,2,1,204,6,17,120000
 Gölbaşı , Taşpınar Mah.,1,1,60,0,-1,19750
 Keçiören , Uyanış Mah.,3,1,135,25,3,16000
 Çankaya , Yaşamkent Mah.,1,1,35,3,2,18250
 Çankaya , Bahçelievler Mah.,3,1,110,45,3,28500
 Etimesgut , Şeyh Şamil Mah.,3,1,138,20,1,20000
 Altındağ , Aydınlıkevler Mah.,3,1,95,44,0,15500
 Keçiören , Yükseltepe Mah.,2,1,115,5,3,14999
 Keçiören , Aktepe Mah.,2,1,90,25,1,13500
 Çankaya , Yücetepe Mah.,2,1,95,60,0,16000
 Keçiören , Uyanış Mah.,2,1,80,11,1,17500
 Çankaya , Birlik Mah.,4,1,180,25,2,30000
 Çankaya , Oran Mah.,4,1,192,0,15,62000
 Çankaya , Fakülteler Mah.,3,1,120,44,5,25000
 Çankaya , Aziziye Mah.,3,1,120,40,1,37500
 Mamak , Kutlu Mah.,3,1,120,11,2,18000
 Etimesgut , Şeyh Şamil Mah.,3,1,98,26,0,22000
 Keçiören , İncirli Mah.,3,1,125,26,2,21000
 Polatlı , Şentepe Mah.,3,1,135,13,3,13000
 Çankaya , Beytepe Mah.,3,1,174,3,3,65000
 Mamak , Mehtap Mah.,3,1,100,30,1,13000
 Çankaya , Büyükesat Mah.,3,1,140,25,4,40000
 Mamak , Tuzluçayır Mah.,3,1,130,14,1,18000
 Mamak , Balkiraz Mah.,3,1,130,38,1,22000
 Keçiören , Emrah Mah.,3,1,118,24,2,17000
 Çankaya , Emek Mah.,3,1,150,40,8,46000
 Keçiören , Atapark Mah.,3,1,135,12,-2,23500
 Yenimahalle , Emniyet Mah.,1,0,45,5,1,19000
 Gölbaşı , İncek Mah.,1,1,45,0,1,14500
 Çankaya , İncesu Mah.,2,1,95,35,6,15000
 Polatlı , Gülveren Mah.,3,1,130,20,1,10000
 Sincan , Tandoğan Mah.,2,1,95,25,1,13000
 Polatlı , İstiklal Mah.,3,1,140,12,3,16000
 Polatlı , Gazi Mah.,2,1,110,0,1,25500
 Mamak , Şafaktepe Mah.,3,1,130,10,2,25000
 Keçiören , Esertepe Mah.,3,1,130,24,3,17900
 Yenimahalle , Demetevler Mah.,3,1,120,40,3,17500
 Gölbaşı , Taşpınar Mah.,4,1,210,2,3,48750
 Gölbaşı , Taşpınar Mah.,1,1,45,1,1,22500
 Çankaya , Emek Mah.,5,1,225,40,4,7500000
 Çankaya , Kavaklıdere Mah.,2,1,85,45,0,24000
 Çankaya , Yaşamkent Mah.,1,1,65,0,4,21000
 Polatlı , Şehitlik Mah.,3,1,140,10,2,18000
 Çankaya , Hilal Mah.,5,1,500,15,3,122000
 Polatlı , Şentepe Mah.,4,1,150,0,5,18500
 Yenimahalle , Ergazi Mah.,3,1,130,21,3,25000
 Çankaya , Aziziye Mah.,1,1,50,7,1,35000
 Keçiören , Kavacık Subayevleri Mah.,2,1,85,35,0,13500
 Çankaya , Hilal Mah.,4,1,165,25,3,33000
 Çankaya , İşçi Blokları Mah.,3,1,130,22,6,36000
 Polatlı , İstiklal Mah.,1,1,70,1,3,13000
 Etimesgut , Elvan Mah.,3,1,135,18,1,20000
 Gölbaşı , Bahçelievler Mah.,3,1,115,16,1,20500
 Altındağ , Hacettepe Mah.,3,1,120,25,3,28000
 Sincan , Mustafa Kemal Mah.,2,1,105,8,3,15000
 Mamak , Ege Mah.,1,1,65,1,20,23000
 Çankaya , İlkadım Mah.,3,1,120,30,1,26500
 Keçiören , İncirli Mah.,3,1,120,25,2,18000
 Mamak , Zirvekent Mah.,2,2,90,10,-1,10000
 Çankaya , Alacaatlı Mah.,4,1,223,0,17,90000
 Çankaya , Birlik Mah.,1,1,70,4,11,31500
 Etimesgut , Şehit Osman Avcı Mah.,1,1,38,10,1,17000
 Çankaya , Huzur Mah.,3,1,120,20,1,19500
 Sincan , Menderes Mah.,3,1,135,0,3,19500
 Keçiören , Aşağı Eğlence Mah.,3,1,100,25,3,25000
 Çankaya , Aziziye Mah.,3,1,140,26,1,37500
 Keçiören , Osmangazi Mah.,3,1,100,10,-2,13500
 Keçiören , Basınevleri Mah.,3,1,105,9,1,17500
 Sincan , Gazi Osmanpaşa Mah.,3,1,125,30,5,15000
 Etimesgut , Bağlıca Mah.,4,1,175,7,3,39000
 Keçiören , Atapark Mah.,3,1,125,7,2,17350
 Keçiören , Aşağı Eğlence Mah.,3,1,115,25,2,18500
 Polatlı , Şehitlik Mah.,4,1,167,2,3,23000
 Pursaklar , Yunus Emre Mah.,3,1,120,20,1,17500
 Keçiören , Atapark Mah.,4,1,180,5,2,29500
 Çankaya , Fakülteler Mah.,3,1,130,25,2,21000
 Yenimahalle , Esentepe Mah.,3,1,130,16,2,22000
 Etimesgut , Göksu Mah.,3,1,120,15,4,26000
 Sincan , Osmanlı Mah.,3,1,135,16,4,14500
 Keçiören , Ayvalı Mah.,3,1,125,16,3,18500
 Çubuk , Cumhuriyet Mah.,3,1,100,15,3,16000
 Etimesgut , Yukarıyurtçu Mah.,3,1,124,110,4,16000
 Sincan , Osmanlı Mah.,3,1,115,21,1,17000
 Yenimahalle , Ata Mah.,3,1,165,15,6,25000
 Çankaya , Fakülteler Mah.,3,1,110,35,5,25000
 Gölbaşı , İncek Mah.,1,1,50,0,1,22000
 Etimesgut , İstasyon Mah.,3,1,125,19,6,21000
 Yenimahalle , İnönü Mah.,1,1,56,0,8,40000
 Keçiören , Esertepe Mah.,3,1,120,6,1,3750000
 Sincan , Ulubatlı Hasan Mah.,3,1,105,30,3,15000
 Altındağ , Yıldıztepe Mah.,3,1,110,30,2,13500
 Mamak , Demirlibahçe Mah.,3,1,110,32,2,18000
 Çankaya , Çayyolu Mah.,3,1,160,4,10,59000
 Çankaya , Güzeltepe Mah.,4,1,170,28,3,35000
 Gölbaşı , Kızılcaşar Mah.,1,0,35,1,3,25000
 Keçiören , Esertepe Mah.,2,0,114,25,9,20500
 Mamak , Ege Mah.,3,1,130,6,3,25000
 Yenimahalle , Çiğdemtepe Mah.,4,1,150,3,5,27000
 Yenimahalle , Çiğdemtepe Mah.,3,1,135,12,1,21000
 Keçiören , Gümüşdere Mah.,3,1,105,31,2,18000
 Yenimahalle , Anadolu Mah.,2,1,80,35,1,10000
 Etimesgut , Eryaman Mah.,4,1,183,19,17,41000
 Sincan , Andiçen Mah.,3,1,140,5,6,21000
 Çubuk , Yıldırım Beyazıt Mah.,1,1,50,0,3,9500
 Keçiören , Kanuni Mah.,2,1,105,5,1,14000
 Kahramankazan , İçören Mah.,2,1,110,21,0,10000
 Çankaya , İşçi Blokları Mah.,2,1,95,35,4,22000
 Mamak , Kazım Orbay Mah.,3,1,110,22,3,13000
 Çankaya , Kavaklıdere Mah.,3,1,135,31,4,23000
 Çankaya , Prof. Dr. Ahmet Taner Kışlalı Mah.,3,1,140,26,1,35000
 Keçiören , Yayla Mah.,3,1,120,11,1,20000
 Etimesgut , Süvari Mah.,3,1,120,13,3,18500
 Altındağ , Aydınlıkevler Mah.,2,1,95,45,4,11500
 Çubuk , Dumlupınar Mah.,1,1,70,1,1,11000
 Etimesgut , Bağlıca Mah.,4,1,185,9,4,35500
 Etimesgut , Turkuaz Mah.,2,1,94,16,1,13000
 Etimesgut , Şehit Osman Avcı Mah.,1,1,60,9,8,23250
 Sincan , 29 Ekim Mah.,3,1,150,10,1,18000
 Altındağ , Örnek Mah.,2,1,75,35,1,10000
 Çankaya , Bahçelievler Mah.,3,1,140,35,3,30000
 Yenimahalle , Özevler Mah.,3,1,130,31,5,19000
 Altındağ , Beşikkaya Mah.,6,1,200,12,6,19750
 Polatlı , Şentepe Mah.,3,1,135,20,3,11000
 Altındağ , Gültepe Mah.,2,0,100,18,4,15000
 Çankaya , Konutkent Mah.,1,1,47,5,2,25000
 Keçiören , Kalaba Mah.,3,1,120,30,2,15000
 Etimesgut , Altay Mah.,1,1,65,10,13,23250
 Ayaş , Ferahfaki Mah.,2,1,90,11,0,9000
 Çankaya , Bahçelievler Mah.,3,1,120,35,1,20000
 Çankaya , Huzur Mah.,3,1,120,30,1,24000
 Çankaya , Beytepe Mah.,1,0,35,0,1,25000
 Çankaya , Harbiye Mah.,3,1,110,3,0,26500
 Polatlı , Şehitlik Mah.,3,1,170,13,3,16000
 Çankaya , Akpınar Mah.,2,1,140,18,1,22000
 Mamak , General Zeki Doğan Mah.,2,1,82,22,4,12500
 Altındağ , Aydınlıkevler Mah.,2,0,110,40,1,12000
 Yenimahalle , Işınlar Mah.,3,1,120,20,1,17000
 Keçiören , Tepebaşı Mah.,3,1,120,40,3,15500
 Gölbaşı , Eymir Mah.,3,1,132,13,1,24000
 Sincan , Alcı Mah.,3,1,155,5,5,10500
 Çankaya , İlkbahar Mah.,4,1,170,4,4,59000
 Çankaya , Çankaya Mah.,3,1,125,31,2,40000
 Yenimahalle , Yeni Batı Mah.,2,1,80,5,6,31000
 Mamak , Kutlu Mah.,3,1,120,18,3,19000
 Etimesgut , Altay Mah.,4,1,150,1,10,45000
 Gölbaşı , Taşpınar Mah.,3,1,105,0,6,30000
 Çankaya , Öveçler Mah.,4,1,140,20,-1,19000
 Gölbaşı , Örencik Mah.,1,1,70,1,1,16000
 Çankaya , Cevizlidere Mah.,3,1,135,17,1,26000
 Çubuk , Yıldırım Beyazıt Mah.,3,1,135,4,6,18250
 Mamak , Durali Alıç Mah.,3,1,135,8,2,20000
 Mamak , Mehtap Mah.,3,1,110,15,0,15000
 Mamak , Tuzluçayır Mah.,1,3,100,25,-1,12000
 Sincan , Atatürk Mah.,2,1,120,10,-1,7000
 Mamak , Çağlayan Mah.,3,1,120,15,-3,12000
 Çankaya , İlkbahar Mah.,3,1,134,24,-1,28000
 Sincan , Ulubatlı Hasan Mah.,2,1,95,25,0,13000
 Etimesgut , Yeni Bağlıca Mah.,2,1,95,6,9,30500
 Çankaya , Kültür Mah.,2,1,120,21,4,30000
 Keçiören , Adnan Menderes Mah.,3,1,160,21,3,22000
 Sincan , Ahi Evran OSB Mah.,3,1,100,25,1,15000
 Keçiören , Güçlükaya Mah.,3,1,120,30,1,21000
 Çankaya , Karapınar Mah.,2,1,105,9,1,20000
 Altındağ , Örnek Mah.,2,1,75,45,1,13000
 Mamak , Zirvekent Mah.,2,1,80,11,0,10000
 Altındağ , Gültepe Mah.,3,1,110,25,3,11000
 Altındağ , Aydınlıkevler Mah.,3,1,105,30,3,15000
 Etimesgut , Şehit Osman Avcı Mah.,1,1,65,6,9,23500
 Çankaya , Ayrancı Mah.,3,1,123,35,2,36000
 Keçiören , Ufuktepe Mah.,3,1,120,16,3,13500
 Etimesgut , Atakent Mah.,3,1,110,30,2,18000
 Altındağ , Baraj Mah.,4,1,150,20,0,15000
 Çankaya , İlkadım Mah.,3,1,115,25,3,22000
 Keçiören , 23 Nisan Mah.,2,1,90,25,0,16000
 Çankaya , Çamlıtepe Mah.,3,1,112,40,2,17500
 Yenimahalle , Mehmet Akif Ersoy Mah.,1,1,65,0,3,27000
 Yenimahalle , Demetgül Mah.,3,1,130,16,9,18000
 Mamak , Şahintepe Mah.,2,1,110,18,3,18000
 Mamak , Tuzluçayır Mah.,2,1,90,25,1,15000
 Gölbaşı , İncek Mah.,2,1,70,1,6,19000
 Çankaya , Birlik Mah.,3,1,160,15,3,45000
 Yenimahalle , Batı Sitesi Mah.,1,1,55,0,4,20250
 Keçiören , Ayvalı Mah.,3,1,130,14,2,26000
 Kahramankazan , Fatih Mah.,3,1,150,11,4,17900
 Çankaya , Birlik Mah.,3,1,130,11,1,36500
 Polatlı , Esentepe Mah.,3,1,110,23,6,7000
 Polatlı , İstiklal Mah.,3,1,140,0,3,18500
 Çankaya , İşçi Blokları Mah.,1,1,50,35,1,35000
 Çankaya , Gökkuşağı Mah.,4,1,175,16,1,35000
 Keçiören , İncirli Mah.,3,1,125,20,2,20000
 Çankaya , Fidanlık Mah.,1,1,110,50,5,15000
 Etimesgut , Topçu Mah.,3,1,115,16,1,15250
 Etimesgut , Şeyh Şamil Mah.,1,1,60,27,2,18500
 Yenimahalle , Gazi Mah.,2,1,80,20,1,25000
 Keçiören , Esertepe Mah.,4,1,190,0,7,41000
 Altındağ , Örnek Mah.,2,1,75,40,1,17500
 Altındağ , Aydınlıkevler Mah.,3,1,160,30,3,25000
 Çankaya , Kırkkonaklar Mah.,3,1,125,16,0,19000
 Sincan , Osmanlı Mah.,3,1,145,6,11,24850
 Çankaya , Sancak Mah.,3,1,164,24,3,30000
 Keçiören , Şenlik Mah.,3,1,120,0,15,35000
 Çankaya , Öveçler Mah.,1,1,70,1,1,24000
 Çankaya , Gaziosmanpaşa Mah.,3,1,220,35,8,60000
 Çankaya , Balgat Mah.,3,1,100,22,-1,30000
 Altındağ , Baraj Mah.,3,1,165,6,0,17500
 Çankaya , İşçi Blokları Mah.,1,1,75,10,3,40000
 Altındağ , Örnek Mah.,2,1,90,40,1,10000
 Polatlı , Cumhuriyet Mah.,3,1,140,25,1,13500
 Keçiören , Köşk Mah.,2,1,105,21,1,15000
 Çankaya , Yukarı Bahçelievler Mah.,1,1,60,0,3,45000
 Yenimahalle , İnönü Mah.,2,1,90,34,1,16000
 Çankaya , Büyükesat Mah.,1,1,65,2,1,30000
 Çankaya , İlkbahar Mah.,1,1,70,5,2,28000
 Çankaya , Güzeltepe Mah.,2,1,85,14,-2,17000
 Keçiören , Ovacık Mah.,4,1,205,0,5,38000
 Çankaya , Alacaatlı Mah.,3,1,170,0,21,80000
 Keçiören , Esertepe Mah.,3,1,125,18,1,23000
 Çankaya , Oran Mah.,3,1,175,4,18,105000
 Sincan , Saraycık Mah.,3,1,123,4,6,20000
 Sincan , 29 Ekim Mah.,3,1,125,11,1,35000
 Çankaya , Yukarı Dikmen Mah.,2,1,140,9,4,35000
 Yenimahalle , Yeni Batı Mah.,2,1,90,8,7,28000
 Sincan , Gazi Osmanpaşa Mah.,3,1,125,30,5,15000
